id;type;mission;name;organisation;city;bundesland;lat;lng;link;keywords;foerderung_eur;thumbnail_path;video_type;video_id;video_pin_order
101022905;point;waters;Hydro4U;GLOBAL HYDRO ENERGY GMBH;Niederranna;Kärnten;46,835;14,502;http://cordis.europa.eu/project/id/101022905;;20287625;;;;
101036926;point;climate;TREEADS;DISASTER COMPETENCE NETWORK AUSTRIA;Wien;Wien;48,1857;16,4222;http://cordis.europa.eu/project/id/101036926;;45590198;;;;
101060212;point;climate;Climate Farm Demo;LANDESKAMMER FUER LAND UND FORTWIRTSCHAFT IN STEIERMARK;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101060212;;33910375;;;;
101081179;point;climate;DIAMOND;"NATURAL PERSON; PERSONNE PRIVEE | PRIVATPERSON";Wien;Wien;48,1857;16,4222;http://cordis.europa.eu/project/id/101081179;;129950;;;;
101157327;point;soil;SEACURE;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101157327;;442500;;;;
101112855;point;soil;DeliSoil;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101112855;;420000;;;;
101060455;point;climate;NutriBudget;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101060455;;328000;;;;
101181712;point;climate;GREENHOOD;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101181712;;115875;;;;
101091483;point;climate;CIRAN;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101091483;;100250;;;;
101084106;point;waters;FOLOU;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101084106;;439385;;;;
101157942;point;waters;DANSER;Internationale Arbeitsgemeinschaft Donauforschung (IAD) - International Association for Danube Research (IAD);Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101157942;;299375;;;;
