id;type;mission;name;organisation;city;bundesland;lat;lng;link;keywords;foerderung_eur;thumbnail_path;video_type;video_id;video_pin_order;project_start;project_end
101022905;point;waters;Hydro4U;GLOBAL HYDRO ENERGY GMBH;Niederranna;Oberösterreich;48,4672;13,7981;http://cordis.europa.eu/project/id/101022905;;1420134;;;;;2021;2026-05-31
101036926;point;climate;TREEADS;DISASTER COMPETENCE NETWORK AUSTRIA;Wien;Wien;48,1857;16,4222;http://cordis.europa.eu/project/id/101036926;;455902;;;;;2021;2025-05-31
101060212;point;climate;Climate Farm Demo;LANDESKAMMER FUER LAND UND FORTWIRTSCHAFT IN STEIERMARK;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101060212;;339104;;;;;2022;2029-09-30
101081179;point;climate;DIAMOND;"NATURAL PERSON; PERSONNE PRIVEE | PRIVATPERSON";Wien;Wien;48,1857;16,4222;http://cordis.europa.eu/project/id/101081179;;129950;;;;;2022;2026-11-30
101157327;point;soil;SEACURE;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101157327;;309750;;;;;2024;2028-08-31
101112855;point;soil;DeliSoil;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101112855;;420000;;;;;2023;2027-05-31
101060455;point;climate;NutriBudget;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101060455;;328000;;;;;2022;2026-08-31
101181712;point;climate;GREENHOOD;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101181712;;81113;;;;;2025;2028-12-31
101091483;point;climate;CIRAN;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101091483;;100250;;;;;2023;2025-12-31
101084106;point;waters;FOLOU;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101084106;;439385;;;;;2023;2026-12-31
101157942;point;waters;DANSER;Internationale Arbeitsgemeinschaft Donauforschung (IAD) - International Association for Danube Research (IAD);Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101157942;;299375;;;;;2025;2028-12-31
956454;point;waters;RecaP;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/956454;;264207;;;;;2021;2025-02-28
101217667;point;waters;SoS2LearnDBS;Internationale Arbeitsgemeinschaft Donauforschung (IAD) - International Association for Danube Research (IAD);Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101217667;;197313;;;;;2025;2029-08-31
101215230;point;waters;SWIM;BUNDESMINISTERIUM FUR LAND- UND FORSTWIRTSCHAFT | KLIMA- UND UMWELTSCHUTZ | REGIONEN UND WASSERWIRTSCHAFT;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101215230;;0;;;;;2025;2029-08-31
101083571;point;waters;PLOTEC;AGRU KUNSTSTOFFTECHNIK GMBH;Bad Hall;Oberösterreich;48,0348;14,2091;http://cordis.europa.eu/project/id/101083571;;486565;;;;;2022;2025-04-30
963603;point;waters;Current Direct;AVILOO GMBH;Biedermannsdorf;Niederösterreich;48,0835;16,3462;http://cordis.europa.eu/project/id/963603;;536750;;;;;2021;2026-06-30
101082073;point;waters;BeeGuards;OSTERREICHISCHER ERWERBSIMKERBUND;Deutsch Goritz;Steiermark;46,7517;15,8304;http://cordis.europa.eu/project/id/101082073;;47219;;;;;2023;2027-09-30
101075710;point;waters;SEANERGY;ENNSHAFEN OO GMBH;Enns;Oberösterreich;48,2130;14,4757;http://cordis.europa.eu/project/id/101075710;;84750;;;;;2022;2025-03-31
101060133;point;waters;HARMONITOR;AGROVET GMBH;Enzersfeld;Niederösterreich;48,3614;16,4262;http://cordis.europa.eu/project/id/101060133;;115000;;;;;2022;2025-05-31
